ECName;WTGEvent;type;description;isDowntime;isFault;Cause;Nature;resetType;alarmLevel;notes;changed
V80VestasErrorCode;164;Turbine;[164] - Press, drop hydr, filter;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;215;Turbine;[215] - Press, drop hydr, Filt, Hub;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;849;No error;[849] - RT DC Undervoltage;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;566;No error;[566] - SF6 Pressure low;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;564;No error;[564] - Shortcircuitindicator1 Active;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;565;No error;[565] - Shortcircuitindicator2 Active;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;691;Turbine;[691] - Signal error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;690;Turbine;[690] - Signal operatinal;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;975;Turbine;[975] - SlipRTemp Diff T;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;717;No error;[717] - SMTP client failed;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;828;Grid;[828] - Start Frequency error;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;109;No error;[109] - Thermerr offlin;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;305;No error;[305] - Timeout comm, Tower acc,;0;0;OTH;Other;Auto short;0;;-1
V80VestasErrorCode;422;Ambient;[422] - Too low nacelle temp;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;298;No error;[298] - Tow: acc, X - Warn,;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;299;No error;[299] - Tow: acc, Y - Warn,;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;985;Turbine;[985] - TowerAcc signal dead;0;0;OTH;Other;Auto long;0;;-1
V80VestasErrorCode;3313;Turbine;[3313] - Transf Fan Neg Feedback Error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3312;Turbine;[3312] - Transf Fan Pos Feedback Error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;600;No error;[600] - UPS battery activated;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2955;Turbine;[2955] - UPS Battery Low;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;479;Turbine;[479] - VCMS:Node Initialize error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;483;Turbine;[483] - VCMS:Node Ping error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;481;Turbine;[481] - VCMS:Node Selftest error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;484;Turbine;[484] - VCMS: Node Warn, Temp;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;487;Turbine;[487] - VCMS:SEW11 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;486;Turbine;[486] - VCMS:SEW11;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;496;Turbine;[496] - VCMS:SEW12 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;495;Turbine;[495] - VCMS:SEW12;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;505;Turbine;[505] - VCMS:SEW13 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;504;Turbine;[504] - VCMS:SEW13;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;514;Turbine;[514] - VCMS:SEW14 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;513;Turbine;[513] - VCMS:SEW14;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;523;Turbine;[523] - VCMS:SEW15 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;522;Turbine;[522] - VCMS:SEW15;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;532;Turbine;[532] - VCMS:SEW31 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;531;Turbine;[531] - VCMS:SEW31;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;541;Turbine;[541] - VCMS:SEW32 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;540;Turbine;[540] - VCMS:SEW32;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;763;Turbine;[763] - VCMS:SEW51 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;762;Turbine;[762] - VCMS:SEW51;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;773;Turbine;[773] - VCMS:SEW52 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;772;Turbine;[772] - VCMS:SEW52;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;783;Turbine;[783] - VCMS:SEW53 A=2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;782;Turbine;[782] - VCMS:SEW53;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;795;Turbine;[795] - VCMS:Socket error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;551;No error;[551] - VCMS:Undefined error code;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;552;No error;[552] - VCMS:Unknown Command received;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;844;No error;[844] - VCS/VCRS dummy warn1;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;845;No error;[845] - VCS/VCRS dummy warn2;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;846;No error;[846] - VCS/VCRS dummy warn3;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;823;Turbine;[823] - Feedback: Phasecomp 12;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;813;Turbine;[813] - Feedback: Phasecomp 2;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;814;Turbine;[814] - Feedback: Phasecomp 3;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;815;Turbine;[815] - Feedback: Phasecomp 4;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;816;Turbine;[816] - Feedback: Phasecomp 5;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;817;Turbine;[817] - Feedback: Phasecomp 6;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;818;Turbine;[818] - Feedback: Phasecomp 7;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;819;Turbine;[819] - Feedback: Phasecomp 8;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;820;Turbine;[820] - Feedback: Phasecomp 9;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;617;Turbine;[617] - Feedback: Phasecomp;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;411;Turbine;[411] - Feedback: SlipR heat S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;656;Turbine;[656] - Feedback: VRCC Fan S A;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;657;Turbine;[657] - Feedback: VRCC Fan S B;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;655;Turbine;[655] - Feedback: VRCC Pump S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;174;Turbine;[174] - Feedback: Hydraulicmotor;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;385;Turbine;[385] - Feedback: SlipR fan S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;386;Turbine;[386] - Feedback: VCS fan S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;73;Turbine;[73] - Feedback Ext, Gen, Fan S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;173;Turbine;[173] - Feedback: Gearoil cool S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;206;Turbine;[206] - Feedback: Hydroilcool S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;71;Turbine;[71] - Feedback: Int, Gen, Fan S A;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;72;Turbine;[72] - Feedback: Int, Gen, Fan S B;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;172;Turbine;[172] - Feedback: Nacelle fan S;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3126;Turbine;[3126] - FlushTestErrEMCPilot;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;932;Turbine;[932] - Gear oil bypass;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2926;Turbine;[2926] - Gear Oil Contaminated Drain A;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2927;Turbine;[2927] - Gear Oil Contaminated Drain B;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2928;Turbine;[2928] - Gear Oil Contaminated Drain C;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3350;Turbine;[3350] - GearHeat Neg Fb Err;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3349;Turbine;[3349] - GearHeat Pos Fb Err;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3351;Turbine;[3351] - GearHeat Signal Err;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2991;Turbine;[2991] - GearHydWaterPumpFBInvalid;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2990;Turbine;[2990] - GearHydWaterPumpNegativeFB;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2989;Turbine;[2989] - GearHydWaterPumpPositiveFB;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2986;Turbine;[2986] - GearHydWaterPumpSignalInvalid;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2988;Turbine;[2988] - GearHydWaterPumpThermoInvalid;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2924;Turbine;[2924] - GearLeak:MainTankVol;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2920;Turbine;[2920] - GearLubrGravityTankFault;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3325;Turbine;[3325] - GenerLubrErr:MissLubrTime;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2948;Turbine;[2948] - GenWarmPhaseTemp;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3025;Turbine;[3025] - GndArcNetRec1LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3026;Turbine;[3026] - GndArcNetRec2LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3027;Turbine;[3027] - GndArcNetRec3LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3028;Turbine;[3028] - GndArcNetRec4LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3029;Turbine;[3029] - GndArcNetRec5LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3020;Turbine;[3020] - GndControllerProcessorBattLaw;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;241;No error;[241] - GPS reciever out of order;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;3184;Turbine;[3184] - GrayCodeInvShift;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;3211;Turbine;[3211] - GrayCodeResetShiftMiss;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;3210;Turbine;[3210] - GrayCodeResetShiftUnexp;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;3015;Turbine;[3015] - HydrHighPressPump2PosFBError;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3127;Turbine;[3127] - HydrPress, EMCPilot;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3128;Turbine;[3128] - HydrPress, EMCPilot;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;368;No error;[368] - Ice sensor error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2913;Turbine;[2913] - InvFB: SupplyContHydrMotor;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2919;Turbine;[2919] - InvFB: SupplyContOtherMot;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2916;Turbine;[2916] - InvFB: SupplyContYawMotor;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;995;No error;[995] - Last ArcNet reconfig count;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;242;No error;[242] - Light det, Error;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;359;No error;[359] - Lightn det, emergency suppl;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;358;No error;[358] - Lightn detect power supplied;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;239;No error;[239] - Lightning blade;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;357;Ambient;[357] - Lightning detected;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;936;Turbine;[936] - Lo DP inlin fltr;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;981;Turbine;[981] - Load sensor not calibrated;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3018;Turbine;[3018] - Load/PowerMode invalid config;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3017;Turbine;[3017] - Load/PowerMode invalid winddir;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;982;Turbine;[982] - Loadsensor A error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;983;Turbine;[983] - Loadsensor B error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;984;Turbine;[984] - Loadsensor C error;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;735;No error;[735] - Long EMCpitch time blade;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;3218;Turbine;[3218] - Low Battery VPC;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;699;Turbine;[699] - Low Battry CT291;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;701;Turbine;[701] - Low Battry CT3601 Hub;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;700;Turbine;[700] - Low Battry CT3601 Nacelle;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;252;No error;[252] - Low oil flow;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3086;Turbine;[3086] - ManBladeSelectorSignalMismatch;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;303;No error;[303] - Marine Lamp error;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;304;No error;[304] - Marine Lamp shift;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;254;No error;[254] - Max DP filt A;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;902;No error;[902] - Max DP filt A;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;287;No error;[287] - Max DP filt B;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3081;Turbine;[3081] - ModeSelectorNacelleSignalError;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3080;Turbine;[3080] - ModeSelectorTowerSignalError;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3030;Turbine;[3030] - NacArcNetRec1LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3031;Turbine;[3031] - NacArcNetRec2LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3032;Turbine;[3032] - NacArcNetRec3LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3033;Turbine;[3033] - NacArcNetRec4LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3034;Turbine;[3034] - NacArcNetRec5LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3207;Turbine;[3207] - Nacelle pos reset missing;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;3204;Turbine;[3204] - Nacelle position err;0;0;OTH;Other;Auto short;0;;-1
V80VestasErrorCode;3206;Turbine;[3206] - Nacelle position reset;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;855;No error;[855] - Nacelle reset not found;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;3022;Turbine;[3022] - NacelleControllerProcBattLaw;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3511;Turbine;[3511] - NacelleHeater Neg Fb Err;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3510;Turbine;[3510] - NacelleHeater Pos Fb Err;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3512;Turbine;[3512] - NacelleHeater Signal Err;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2911;Turbine;[2911] - NegFB: SupplyContHydrMotor;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2917;Turbine;[2917] - NegFB: SupplyContOtherMot;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2914;Turbine;[2914] - NegFB: SupplyContYawMotor;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;972;Turbine;[972] - VCP upload failed;1;1;DEV_UN;Other;Auto short no count;11;;-1
V80VestasErrorCode;107;Turbine;[107] - VCPM OpSt, change timeout;1;1;DEV_UN;Other;Local;1;;-1
V80VestasErrorCode;345;Turbine;[345] - VCPM to MDSP Comm, timeout;1;1;DEV_UN;Other;Auto short;11;;-1
V80VestasErrorCode;99;Turbine;[99] - VCPM err, Address;1;1;DEV_UN;Other;Local;1;;-1
V80VestasErrorCode;64;Turbine;[64] - VCPMstate queue overflow;1;1;DEV_UN;Other;Local;1;;-1
V80VestasErrorCode;351;Turbine;[351] - VCS Low water level;1;1;DEV_UN;Other;Auto long;11;;-1
V80VestasErrorCode;839;Turbine;[839] - VCS/VCRS dummy alarm1;1;1;DEV_UN;Other;Auto short;11;;-1
V80VestasErrorCode;840;Turbine;[840] - VCS/VCRS dummy alarm2;1;1;DEV_UN;Other;Auto short;11;;-1
V80VestasErrorCode;841;Turbine;[841] - VCS/VCRS dummy alarm3;1;1;DEV_UN;Other;Auto short;11;;-1
V80VestasErrorCode;842;Turbine;[842] - VCS/VCRS dummy alarm4;1;1;DEV_UN;Other;Auto short;11;;-1
V80VestasErrorCode;843;Turbine;[843] - VCS/VCRS dummy alarm5;1;1;DEV_UN;Other;Auto short;11;;-1
V80VestasErrorCode;60;Turbine;[60] - VDI telegram format error;1;1;DEV_UN;Other;Local;1;;-1
V80VestasErrorCode;54;Turbine;[54] - VDI telegram xmit error;1;1;DEV_UN;Other;Local;1;;-1
V80VestasErrorCode;2890;Turbine;[2890] - VibrShockAct X Y;1;1;DEV_UN;Vibration;Remote;1;;-1
V80VestasErrorCode;3159;Turbine;[3159] - VPCIntSWErr;1;1;DEV_UN;Other;Remote;1;;-1
V80VestasErrorCode;649;Turbine;[649] - VRCC: bin File missing;1;1;DEV_UN;Other;Local;1;;-1
V80VestasErrorCode;237;Turbine;[237] - WATCHDOG was not trigged;1;1;DEV_UN;Other;Not to be acknowledged;1;;-1
V80VestasErrorCode;3263;Turbine;[3263] - WeldedContactor;1;1;DEV_UN;Other;Remote;1;;-1
V80VestasErrorCode;2923;Turbine;[2923] - WetSump Lev;1;1;DEV_UN;Other;Auto long;11;;-1
V80VestasErrorCode;5;Turbine;[5] - Wrong ARCNet node no;1;1;DEV_UN;Other;Local;1;;-1
